TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19990101,-18.145,0.0,123.389,66.541,0.0,188.73,0.0,0.749,0.0,100.704,1.0,0.308,0.0,2.257,0.645833,0.4895078916129031,0.6458333333333334,-9999,0.0,108.964639821875,1.0,-9999,0.0,-9999,0.0,372.065,1.0,-9999,-9999,-9999,-9999,20.2459,-9999,-9999,-9999,-9999,-9999,-17.923,-9999,-9999,-9999,-9999,-9999,0.468343,0.604167,-9999,0.468343,0.468343,0.468343,0.604167,0.604167,0.604167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990102,-18.896,0.0,124.009,82.176,0.0,166.999,0.0,0.797,0.0,101.801,1.0,0.0,0.0,2.888,0.875,0.5601684409523809,0.875,-9999,0.0,167.40295675604168,1.0,-9999,0.0,-9999,0.0,367.942,1.0,-9999,-9999,-9999,-9999,13.8966,-9999,-9999,-9999,-9999,-9999,-1.62833,-9999,-9999,-9999,-9999,-9999,0.505682,0.666667,-9999,0.505682,0.505682,0.505682,0.666667,0.666667,0.666667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990103,-11.069,0.0,124.69,12.871,0.0,266.156,0.0,0.648,0.0,101.133,1.0,9.3,0.0,1.939,0.583333,0.33751426535714285,0.5833333333333334,-9999,0.0,22.739412322083336,1.0,-9999,0.0,-9999,0.0,370.786,0.875,-9999,-9999,-9999,-9999,3.69568,-9999,-9999,-9999,-9999,-9999,-4.31712,-9999,-9999,-9999,-9999,-9999,0.457012,0.708333,-9999,0.457012,0.457012,0.457012,0.708333,0.708333,0.708333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990104,-2.985,0.0,125.428,76.326,0.0,237.359,0.0,1.335,0.0,99.624,1.0,0.379,0.0,2.565,0.0,-9999,0.0,-9999,0.0,92.16579770666665,1.0,-9999,0.0,-9999,0.0,370.798,0.125,-9999,-9999,-9999,-9999,11.7418,-9999,-9999,-9999,-9999,-9999,6.48472,-9999,-9999,-9999,-9999,-9999,0.462813,0.0,-9999,0.462813,0.462813,0.462813,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990105,-14.381,0.0,126.226,85.516,0.0,175.503,0.0,0.77,0.0,101.03,1.0,0.002,0.0,1.994,0.0,-9999,0.0,-9999,0.0,251.08881185874998,1.0,-9999,0.0,-9999,0.0,370.542,0.166667,-9999,-9999,-9999,-9999,8.29067,-9999,-9999,-9999,-9999,-9999,1.91816,-9999,-9999,-9999,-9999,-9999,0.45984,0.0,-9999,0.45984,0.45984,0.45984,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990106,-12.368,0.0,127.081,82.562,0.0,210.507,0.0,0.949,0.0,101.125,1.0,0.771,0.0,2.465,0.0,-9999,0.0,-9999,0.0,211.17725763541662,1.0,-9999,0.0,-9999,0.0,370.57,0.0,-9999,-9999,-9999,-9999,8.43211,-9999,-9999,-9999,-9999,-9999,-0.242765,-9999,-9999,-9999,-9999,-9999,0.456981,0.0,-9999,0.456981,0.456981,0.456981,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990107,-8.626,0.0,127.996,85.5,0.0,202.879,0.0,1.238,0.0,100.653,1.0,0.294,0.0,2.979,0.0,-9999,-9999,-9999,-9999,173.40387231,1.0,-9999,-9999,-9999,-9999,370.982,0.0,-9999,-9999,-9999,-9999,13.5196,-9999,-9999,-9999,-9999,-9999,-3.33953,-9999,-9999,-9999,-9999,-9999,0.510791,0.0,-9999,0.510791,0.510791,0.510791,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990108,-13.632,0.0,128.967,83.492,0.0,202.904,0.0,0.851,0.0,102.046,1.0,1.709,0.0,1.638,0.0,-9999,0.0,-9999,0.0,157.31027510166666,1.0,-9999,0.0,-9999,0.0,370.625,0.0,-9999,-9999,-9999,-9999,9.81504,-9999,-9999,-9999,-9999,-9999,4.60059,-9999,-9999,-9999,-9999,-9999,0.535922,0.0,-9999,0.535922,0.535922,0.535922,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990109,-0.416,0.0,129.997,8.384,0.0,314.834,0.0,0.801,0.0,99.704,1.0,20.67,0.0,2.145,0.0,-9999,0.0,-9999,0.0,18.470469530520834,1.0,-9999,0.0,-9999,0.0,371.645,0.0,-9999,-9999,-9999,-9999,5.85997,-9999,-9999,-9999,-9999,-9999,4.98829,-9999,-9999,-9999,-9999,-9999,0.605761,0.0,-9999,0.605761,0.605761,0.605761,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990110,-10.101,0.0,131.085,76.215,0.0,202.771,0.0,0.914,0.0,100.498,1.0,0.001,0.0,1.903,0.0,-9999,0.0,-9999,0.0,63.76379345458334,1.0,-9999,0.0,-9999,0.0,371.633,0.0,-9999,-9999,-9999,-9999,10.1069,-9999,-9999,-9999,-9999,-9999,9.38428,-9999,-9999,-9999,-9999,-9999,0.583842,0.0,-9999,0.583842,0.583842,0.583842,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
